latitude,longitude,time
43.4609,1.57165,1274291739.0
43.45833,1.57132,1274292971.0
43.4583,1.57198,1274293031.0
43.45853,1.57169,1274293091.0
43.45851,1.57153,1274293150.0
43.4609,1.57165,1274293192.0
43.4609,1.57165,1274295167.0
43.45835,1.5718,1274296188.0
43.45832,1.57201,1274296366.0
43.4577,1.57174,1274296549.0
43.4609,1.57165,1274296628.0
43.4609,1.57165,1274296842.0
43.4609,1.57165,1274296959.0
43.45936,1.56319,1274297875.0
43.4585,1.57186,1274298955.0
43.45936,1.56319,1274299917.0
43.4585,1.57186,1274301407.0
43.4585,1.57186,1274301708.0
43.4585,1.57186,1274301823.0
43.4585,1.57186,1274302126.0
43.4585,1.57186,1274302427.0
43.4585,1.57186,1274302546.0
43.4585,1.57186,1274302782.0
43.4585,1.57186,1274302902.0
43.4585,1.57186,1274303141.0
43.45936,1.56319,1274303275.0
43.4585,1.57186,1274303385.0
43.45936,1.56319,1274303597.0
43.4585,1.57186,1274303688.0
43.4585,1.57186,1274303807.0
43.4585,1.57186,1274304109.0
43.4585,1.57186,1274304406.0
43.4585,1.57186,1274304527.0
43.4585,1.57186,1274304644.0
43.4585,1.57186,1274304764.0
43.4585,1.57186,1274305011.0
43.38885,1.6117,1274305240.0
43.4585,1.57186,1274305319.0
43.45936,1.56319,1274305612.0
43.45936,1.56319,1274305791.0
43.45936,1.56319,1274305911.0
43.45936,1.56319,1274306269.0
43.45936,1.56319,1274306392.0
43.45936,1.56319,1274306509.0
43.45936,1.56319,1274306688.0
43.45936,1.56319,1274306931.0
43.45936,1.56319,1274307050.0
43.4585,1.57186,1274307165.0
43.4585,1.57186,1274307289.0
43.4585,1.57186,1274307404.0
43.4585,1.57186,1274307526.0
43.45936,1.56319,1274307649.0
43.4585,1.57186,1274307828.0
43.45936,1.56319,1274307945.0
43.45873,1.5717,1274308112.0
43.45852,1.57172,1274308172.0
43.45842,1.57194,1274308231.0
43.45936,1.56319,1274308305.0
43.45936,1.56319,1274308484.0
43.45936,1.56319,1274308616.0
43.45936,1.56319,1274308732.0
43.45885,1.57187,1274309195.0
43.45833,1.57191,1274309255.0
43.4583,1.57186,1274309318.0
43.4588,1.57166,1274309375.0
43.45799,1.57167,1274309495.0
43.45829,1.57184,1274309556.0
43.45843,1.57159,1274309616.0
43.45836,1.57166,1274309682.0
43.45832,1.57167,1274309736.0
43.45837,1.57183,1274309796.0
43.45842,1.57182,1274309856.0
43.45837,1.57168,1274309916.0
43.45839,1.57191,1274310167.0
43.4585,1.57186,1274310227.0
43.4585,1.57186,1274310408.0
43.4585,1.57186,1274310529.0
43.4585,1.57186,1274311190.0
43.4585,1.57186,1274311307.0
43.4585,1.57186,1274311666.0
43.4585,1.57186,1274311848.0
43.4585,1.57186,1274311966.0
43.4585,1.57186,1274312097.0
43.4585,1.57186,1274312207.0
43.4585,1.57186,1274312326.0
43.4585,1.57186,1274312627.0
43.4585,1.57186,1274312924.0
43.4585,1.57186,1274313045.0
43.4585,1.57186,1274313224.0
43.4585,1.57186,1274313525.0
43.4585,1.57186,1274313641.0
43.4585,1.57186,1274313772.0
43.4585,1.57186,1274313880.0
43.4585,1.57186,1274314366.0
43.4585,1.57186,1274314544.0
43.4585,1.57186,1274314845.0
43.4585,1.57186,1274315565.0
43.4585,1.57186,1274315683.0
43.4585,1.57186,1274316046.0
43.41553,1.62286,1274316339.0
43.4585,1.57186,1274316403.0
43.4585,1.57186,1274316822.0
43.4585,1.57186,1274317303.0
43.45815,1.57318,1274319277.0
43.4585,1.57186,1274321688.0
43.4609,1.57165,1274343054.0
43.48599,1.54623,1274343167.0
43.50789,1.51618,1274343287.0
43.50469,1.51611,1274343411.0
43.517,1.5215,1274343526.0
43.54599,1.50106,1274343646.0
43.54599,1.50106,1274343766.0
43.5414,1.50665,1274343884.0
43.5414,1.50665,1274344003.0
43.5527,1.49098,1274344125.0
43.5623,1.48787,1274344245.0
43.5703,1.47435,1274344363.0
43.5634,1.47638,1274344522.0
43.56289,1.47676,1274347425.0
43.56269,1.47659,1274347664.0
43.5632,1.47615,1274349644.0
43.5632,1.47615,1274349772.0
43.5632,1.47615,1274349888.0
43.5593,1.47828,1274350008.0
43.5593,1.47828,1274350128.0
43.5593,1.47828,1274350248.0
43.5624,1.4774,1274350431.0
48.7218,2.3592,1274798042.0
48.72789,2.35969,1274869023.0
45.8962,6.15136,1274869153.0
45.8962,6.15136,1274869332.0
45.8962,6.15136,1274869515.0
45.8962,6.15136,1274869632.0
45.89698,6.13951,1274869816.0
45.89698,6.13951,1274872446.0
45.90408,6.14633,1274872762.0
45.88952,6.13718,1274873773.0
45.88961,6.13716,1274874249.0
45.88944,6.13732,1274874308.0
45.88943,6.13731,1274874374.0
45.88965,6.13725,1274874499.0
45.88936,6.13758,1274874558.0
45.88941,6.13739,1274874617.0
45.88937,6.13741,1274874677.0
45.88948,6.13764,1274874736.0
45.88957,6.13731,1274874861.0
